Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32,Sensor33,Sensor34,Sensor35,Sensor36,Sensor37,Sensor38,Sensor39,Sensor40,Sensor41,Sensor42,Sensor43,Sensor44,Sensor45,Sensor46,Sensor47,Sensor48,Sensor49,Sensor50,Sensor51,Sensor52,Sensor53,Sensor54,Sensor55,Sensor56,Sensor57,Sensor58,Sensor59,Sensor60,Sensor61,Sensor62,Sensor63,Sensor64,Sensor65,Sensor66,Sensor67,Sensor68,Sensor69,Sensor70,Sensor71,Sensor72,Sensor73,Sensor74,Sensor75,Sensor76,Sensor77,Sensor78,Sensor79,Sensor80,Sensor81,Sensor82,Sensor83,Sensor84,Sensor85,Sensor86,Sensor87,Sensor88,Sensor89,Sensor90,Sensor91,Sensor92,Sensor93,Sensor94,new_label
0.00035829,0.9905667,0.015432099,2.58e-19,3.38e-07,1,0.87200385,0.5167785,0.25663716,0.81093854,0.47921085,0.47921085,0.0,0.38742927,0.4697245,0.9825976,0.004113596,0.26196384,0.4398444,0.0,0.000295555,0.0,0.0,0.0,0.08661574,0.15175383,1,0.37629882,0.06888592,0.41436252,0.84113497,0.63277185,0.11031609,0.11416938,0.7092427,0.23863196,0.006983399,0.0,0.0,0.0,0,0.09692265,0.52650005,0.33333334,0.30352303,0.037966784,0.8575268,0.28634128,0.28951496,0.99561447,0.7626762,0.005481721,0.016211644,0.003921569,0.0,0.018194009,0.4879652,0.21875,0.23350985,0.0,0.0,0.000144204,0.09424111,1.0,0.7879325,0.2516299,0.31564945,0.20338982,0.009009009,0.010842369,0.125,1.0,0.012743855,0.42857143,0.851043,1.0,0.7354564,0.1269906,1,0.093655586,0.14141414,0.04040404,0.010416667,0.023638232,0.041237112,0.030612245,0.4292493,0.2975699,0.8423862,0.1704021,0.20068784,0.2657521,0.18796037,0.8333333,0
0.00035829,0.9933673,0.015432099,2.58e-19,3.38e-07,1,0.8723918,0.5181208,0.25870207,0.81093854,0.47800833,0.47800833,0.0,0.38743636,0.4738078,0.981921,0.004308739,0.26486325,0.44027385,0.0,0.000812776,0.0,0.0,0.0,0.034263346,0.1899088,1,0.3763163,0.06774786,0.41894448,0.8294636,0.63277185,0.11039676,0.11416483,0.72098124,0.23077141,0.007440649,0.0,0.0,0.0,0,0.09692265,0.52650005,0.33333334,0.30352303,0.038252465,0.8574565,0.28634128,0.2673163,0.99562776,0.7626762,0.005768488,0.016342435,0.003921569,0.0,0.016975228,0.48799196,0.21875,0.23351052,0.0,0.0,0.00014375,0.09306936,1.0,0.7879325,0.25050965,0.31564945,0.20338982,0.009009009,0.010842369,0.125,1.0,0.012698935,0.42857143,0.851043,1.0,0.7351357,0.1269906,1,0.093655586,0.14141414,0.04040404,0.010416667,0.023638232,0.041237112,0.030612245,0.4292493,0.2975699,0.8423862,0.1704021,0.20068784,0.26582587,0.18796037,0.8333333,0
0.00035829,0.9953904,0.015432099,2.58e-19,0.0,1,0.8729738,0.5174497,0.25766963,0.81093854,0.4762045,0.4762045,0.68463284,0.4763864,0.47602874,0.97486484,0.016095309,0.16086265,0.44168973,0.0,0.0,0.0,0.0,0.0,0.2046074,0.11763428,1,0.16834496,0.076105215,0.42385486,0.64797163,0.002578347,0.1818662,0.19371654,0.924479,0.21606946,0.015089146,0.0,0.0,0.0,0,0.097073495,0.005444808,0.33333334,0.0,0.05835091,0.85395217,0.28634128,0.4130918,0.9960628,0.7360305,0.0037611,0.001218375,0.003921569,0.003253395,0.042858206,0.8293568,0.21875,0.23394774,0.0,0.0,7.93e-05,0.14736801,1.0,0.7879325,0.06934189,0.31564945,0.20338982,0.0,0.010008341,0.125,1.0,0.005854759,0.42857143,0.5130262,1.0,0.4180891,0.1269906,1,0.003021148,0.030303031,0.0,0.020833334,0.003083248,0.005154639,0.005102041,0.07060946,0.20360114,0.0856316,0.21385957,0.32263848,0.26182547,0.3694707,0.8333333,0
0.00035829,0.99005497,0.015432099,2.58e-19,0.0,1,0.8723918,0.5181208,0.25870207,0.81093854,0.47680578,0.47680578,0.684527,0.4763436,0.47491208,0.97468424,0.016110938,0.16189182,0.44221738,0.0,0.0,0.0,0.0,0.0,0.18722552,0.11786645,1,0.16823773,0.07574958,0.42386323,0.64446294,0.002578347,0.18194324,0.19375652,0.9208202,0.2202991,0.01568495,0.0,0.0,0.0,0,0.097073495,0.005444808,0.33333334,0.0,0.055536814,0.8541535,0.28634128,0.40467814,0.99614614,0.7645511,0.003584628,0.001159122,0.003921569,0.003253395,0.040163342,0.82948303,0.21875,0.23394774,0.0,0.0,8.23e-05,0.14803405,1.0,0.7879325,0.06844146,0.31564945,0.20338982,0.0,0.010008341,0.125,1.0,0.005936821,0.42857143,0.5106258,1.0,0.42615002,0.1269906,1,0.003021148,0.030303031,0.0,0.020833334,0.003083248,0.005154639,0.005102041,0.07060946,0.20360114,0.0856316,0.21385957,0.32263848,0.26130444,0.3694707,0.8333333,0
0.00035829,0.991248,0.015432099,2.58e-19,0.0,1,0.8729738,0.51761746,0.25792772,0.8100375,0.47575358,0.47575358,0.68451256,0.47633758,0.47498485,0.97484714,0.016372418,0.15974173,0.44244903,0.0,0.0,0.0,0.0,0.0,0.2268508,0.11790086,1,0.16822225,0.07343803,0.42427236,0.6540635,0.002578347,0.11054722,0.11229649,0.88277733,0.15878637,0.014531436,0.0,0.0,0.0,0,0.097073495,0.005444808,0.33333334,0.0,0.03878029,0.85411215,0.28634128,0.28028375,0.9960823,0.710747,0.00388794,0.000827803,0.003921569,0.003253395,0.016149445,0.4876849,0.21875,0.23394774,0.0,0.0,7.93e-05,0.14803936,1.0,0.7879325,0.06968161,0.31564945,0.15254237,0.0,0.010008341,0.125,1.0,0.005828078,0.42857143,0.0,1.0,0.0,0.1269906,1,0.003021148,0.030303031,0.0,0.020833334,0.003083248,0.005154639,0.005102041,0.07060946,0.20360114,0.0856316,0.21385957,0.32263848,0.26122835,0.3694707,0.8333333,0
0.00035829,0.9931174,0.015432099,2.58e-19,0.0,1,0.87200385,0.5167785,0.25663716,0.81075835,0.4762045,0.4762045,0.68454283,0.47634992,0.47576052,0.9748177,0.016282687,0.16389786,0.44174844,0.0,0.0,0.0,0.0,0.0,0.17779773,0.123993374,1,0.1682531,0.07482504,0.42395332,0.63934696,0.002578347,0.11044602,0.112374716,0.9179994,0.16067676,0.015089146,0.0,0.0,0.0,0,0.097073495,0.005444808,0.33333334,0.0,0.046605367,0.85400933,0.28634128,0.32457542,0.9960945,0.7202275,0.003595655,0.000941292,0.003921569,0.003253395,0.016801903,0.48768294,0.21875,0.23394774,0.0,0.0,8.12e-05,0.14743252,1.0,0.7879325,0.06954289,0.31564945,0.20338982,0.0,0.010008341,0.125,1.0,0.005882383,0.42857143,0.7120393,1.0,0.5918873,0.1269906,1,0.003021148,0.030303031,0.0,0.020833334,0.003083248,0.005154639,0.005102041,0.07060946,0.20360114,0.0856316,0.21385957,0.32263848,0.26137975,0.3694707,0.8333333,0
0.00035829,0.9937075,0.015432099,2.58e-19,0.0,1,0.87200385,0.51761746,0.25792772,0.8100375,0.475002,0.475002,0.6844976,0.47633165,0.47879243,0.97482264,0.015913852,0.16189349,0.4422052,0.0,0.0,0.0,0.0,0.0,0.22876558,0.117874496,1,0.16820729,0.074060306,0.42385626,0.65793186,0.002578347,0.11027606,0.112292,0.8799816,0.16605465,0.014756597,0.0,0.0,0.0,0,0.097073495,0.005444808,0.33333334,0.0,0.039959405,0.85402375,0.28634128,0.2735763,0.9961074,0.6899582,0.003474328,0.0009317,0.003921569,0.003253395,0.017754873,0.48767012,0.21875,0.23394774,0.0,0.0,8.2e-05,0.14688464,1.0,0.7879325,0.06830481,0.31564945,0.15254237,0.0,0.010008341,0.125,1.0,0.005886732,0.42857143,0.7120393,1.0,0.5885857,0.1269906,1,0.003021148,0.030303031,0.0,0.020833334,0.003083248,0.005154639,0.005102041,0.07060946,0.20360114,0.0856316,0.21385957,0.32263848,0.26115555,0.3694707,0.8333333,0
0.00035829,0.9914315,0.015432099,2.58e-19,0.0,1,0.87200385,0.5181208,0.25870207,0.8100375,0.4762045,0.4762045,0.6846031,0.47637427,0.4742772,0.9747889,0.016290478,0.16128692,0.44081122,0.0,0.0,0.0,0.0,0.0,0.24496935,0.117592,1,0.16831417,0.07486059,0.42383695,0.6547109,0.002578347,0.110402316,0.112317115,0.9205487,0.17277819,0.015532538,0.0,0.0,0.0,0,0.097073495,0.005444808,0.33333334,0.0,0.05834817,0.85410255,0.28634128,0.46808195,0.99612993,0.7730634,0.003739041,0.001296553,0.003921569,0.003253395,0.017246729,0.4877442,0.21875,0.23406753,0.0,0.0,8.03e-05,0.1472821,1.0,0.7879325,0.06900922,0.31564945,0.20338982,0.0,0.010008341,0.125,1.0,0.005885689,0.42857143,0.4255215,1.0,0.34934044,0.1269906,1,0.003021148,0.030303031,0.0,0.020833334,0.003083248,0.005154639,0.005102041,0.07060946,0.20360114,0.0856316,0.21385957,0.32263848,0.26167715,0.3694707,0.8333333,0
0.00035829,0.9932523,0.015432099,2.58e-19,0.0,1,0.8721978,0.5174497,0.25766963,0.8100375,0.47560325,0.47560325,0.68455744,0.47635576,0.476452,0.97482425,0.015986046,0.1604382,0.44182655,0.0,0.0,0.0,0.0,0.0,0.20372356,0.12409886,1,0.16826825,0.07592747,0.4238101,0.65754926,0.002578347,0.11049176,0.11229275,0.8784803,0.16473399,0.014340913,0.0,0.0,0.0,0,0.097073495,0.005444808,0.33333334,0.0,0.038019802,0.85403997,0.28634128,0.26659036,0.99609226,0.68813705,0.003816248,0.00085546,0.003921569,0.003253395,0.018131597,0.4876641,0.21875,0.23406753,0.0,0.0,8.02e-05,0.14794809,1.0,0.7879325,0.068553135,0.31564945,0.20338982,0.0,0.010008341,0.125,1.0,0.005894856,0.42857143,0.8526387,1.0,0.70619553,0.1269906,1,0.003021148,0.030303031,0.0,0.020833334,0.003083248,0.005154639,0.005102041,0.07060946,0.20360114,0.0856316,0.21385957,0.32263848,0.2614551,0.3694707,0.8333333,0
0.00035829,0.991725,0.015432099,2.58e-19,0.0,1,0.6300284,0.34519017,-0.007325467,0.0,0.0,0.0,0.0,0.028503291,0.47603872,0.97480726,0.016079718,0.2148479,0.44125035,0.0,0.0,0.0,0.0,0.0,0.1643929,0.143039,1,0.48999664,0.076816544,0.42400703,0.5727689,0.61265475,0.11047796,0.11228935,0.8628219,0.1731715,0.24847443,0.0,0.013160611,0.0,0,0.097071595,0.13807398,0.33333334,0.0,0.03974614,0.85410255,0.28634128,0.26835218,0.9961365,0.67064077,0.86934674,0.000978613,0.003921569,0.030173866,0.015176497,0.48767194,0.03125,0.036655407,0.749994,0.25107205,0.000220101,0.34851363,1.0,0.7879325,1.0,0.54082507,0.7118644,0.0990991,0.03502919,0.125,1.0,0.023682015,0.42857143,0.851043,1.0,0.70751625,0.1269906,0,0.003021148,0.030303031,0.0,0.020833334,0.003083248,0.005154639,0.0,0.051495697,0.19835146,0.07143805,0.12027207,0.4409574,0.5997721,0.20770802,0.8333333,0
